message_id,action,message_type,reason,confidence,evidence_message_ids
msg_058,mute,forward,The message is a chain forward asking the user to propagate it further.,0.87,message_0040
msg_026,mute,scam,"The sender impersonates a known brand from an unverified, recently created account on a lookalike domain.",0.87,message_0032
msg_047,digest,personal,"This is a routine facility update with a workaround already provided, so it can wait despite the sender's usual quick-reply pattern.",0.81,message_0001
msg_046,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0148
msg_042,notify,urgent,"A society group sent a time-critical safety alert requiring immediate action within minutes, warranting instant delivery to a fast-responding recipient.",0.90,message_0140
msg_079,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0369
msg_098,notify,urgent,"This message requests an urgent same-day medical decision from someone the user reliably responds to quickly, warranting immediate delivery.",0.88,message_0226
msg_037,notify,urgent,"This society group alert signals a time-critical water tanker arrival with a 10-minute window, warranting immediate attention.",0.90,none
msg_007,digest,event,"This is a low-urgency society update with a week-long deadline, matching a sender the user typically reads later without responding.",0.83,message_0275
msg_085,mute,scam,"The sender impersonates a known brand from an unverified, recently created account on a lookalike domain.",0.87,message_0221
msg_001,notify,urgent,"A society group sent a time-critical water supply alert with a 20-minute window, warranting immediate delivery given the user's fast reply habit.",0.90,message_0240
msg_021,notify,urgent,"A society group sent a time-sensitive payment deadline with a safety caution, matching a sender the user typically responds to quickly.",0.90,message_0068
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed messages from this sender.,0.87,message_0034
msg_012,mute,forward,The message is a chain forward asking the user to propagate it further.,0.87,message_0194
msg_064,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0087
msg_103,notify,urgent,"This is a time-sensitive item hold with a hard 6 PM deadline, and the sender expects a prompt yes-or-no reply.",0.90,message_0065
msg_031,notify,urgent,"A coworker group flagged a same-day sync with required prep items, matching this user's pattern of quick replies to this sender.",0.88,none
msg_057,notify,urgent,"This is a direct, time-sensitive request from a coworker about a failing build that needs immediate attention before a client update goes out.",0.90,message_0169
msg_087,mute,personal,"This is a content-free voice note from a real estate group the user routinely ignores, so it warrants no special attention.",0.86,message_0204
msg_067,notify,urgent,"This society group message has a same-day payment deadline with a late fee risk, and the user typically responds to this sender quickly.",0.90,message_0068
msg_039,notify,urgent,"This is a same-day, time-sensitive request directly addressing the user's child, matching the sender's usual pattern of quick replies from them.",0.90,message_0364
msg_082,notify,personal,"This coworker group's voice note has no preview text, but fast prior replies to this sender warrant surfacing it immediately.",0.90,message_0218
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed messages from this sender.,0.87,message_0257
msg_049,notify,urgent,"The user consistently opens and replies to this sender, so this message is worth an interruption.",0.90,message_0154
msg_015,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0045
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed messages from this sender.,0.87,message_0257
msg_097,digest,personal,"This message explicitly states nothing is urgent and proposes continuing the conversation tomorrow morning, so immediate delivery isn't needed.",0.81,message_0054
msg_089,digest,urgent,"This is a low-stakes lost-and-found update with a same-day deadline, informational rather than urgent enough to interrupt immediately.",0.79,message_0299
msg_053,digest,personal,"This is a non-urgent research share explicitly marked for after-market reading, consistent with how this sender's posts are typically handled.",0.83,message_0161
msg_059,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,message_0221
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed messages from this sender.,0.87,message_0257
msg_072,mute,scam,"The message asks for OTP, card or wallet credentials through a suspicious verification flow.",0.87,none
msg_036,mute,scam,"The sender impersonates a known brand from an unverified, recently created account on a lookalike domain.",0.87,message_0283
msg_076,mute,scam,"The sender impersonates a known brand from an unverified, recently created account on a lookalike domain.",0.87,message_0207
msg_055,notify,urgent,"This urgent, time-boxed request explicitly demands an immediate call within ten minutes, warranting instant delivery despite coming from a group thread.",0.90,message_0166
msg_102,notify,urgent,"This is a time-sensitive operational request requiring immediate standby, and the user's fast-reply history with this sender confirms its priority.",0.90,message_0230
msg_080,notify,urgent,"This is a time-sensitive society alert requiring the user to move their car within minutes, warranting immediate delivery.",0.90,message_0130
msg_093,digest,urgent,"This is a routine delivery-window update with no action needed right now, so it can wait until later without any downside.",0.79,message_0349
msg_034,mute,greeting,"A routine morning check-in from a family group with no urgent request, matching a pattern the user typically skips over.",0.86,message_0013
msg_035,digest,promotion,"This is a promotional pitch from a business account with no urgency, matching a pattern the user typically skims later without acting.",0.83,message_0281
msg_101,digest,personal,"This is a low-urgency personal check-in with explicit no-reply-needed instructions, matching the pattern of messages this sender sends that the user reads later without acting.",0.83,message_0268
msg_041,digest,business_update,"This is a non-urgent survey request from a business account, matching a pattern the user typically reads later without responding.",0.83,message_0137
msg_011,mute,forward,The message is a chain forward asking the user to propagate it further.,0.87,message_0014
msg_110,mute,scam,The message contains instructions aimed at the routing system rather than the user.,0.87,message_0238
msg_095,mute,scam,The message contains instructions aimed at the routing system rather than the user.,0.87,message_0087
msg_074,mute,promotion,"This is a duplicated promotional pitch for a token payment on unverified plots, matching a sender the user routinely ignores.",0.86,message_0204
msg_073,mute,urgent,"This is a phishing-style urgency tactic from a marketplace group the user routinely ignores, pushing a suspicious verification link.",0.86,message_0147
msg_054,mute,urgent,"This is a fee-upfront loan scam impersonating an unrelated local_food group, using false urgency to pressure payment—unrelated to the sender's usual harmless content.",0.86,message_0389
msg_068,digest,personal,"This book club message explicitly states no urgency, with a poll coming later tonight, matching the user's usual pattern of reading later.",0.83,message_0191
msg_100,notify,urgent,"This is a time-critical operational emergency with a 20-minute deadline, and the user's fast reply pattern with this sender confirms immediate delivery is warranted.",0.90,message_0362
msg_062,digest,event,"This is a routine building announcement about tomorrow's scheduled test, so it can wait despite the sender's usual quick-reply pattern.",0.81,message_0043
msg_096,notify,urgent,"This is a time-sensitive message about a found passport requiring pickup before a same-day deadline, warranting immediate attention.",0.90,none
msg_043,notify,urgent,A society admin's forwarded alert about a 15-minute water tanker window is time-critical and needs immediate action from someone likely to respond fast.,0.90,none
msg_077,digest,personal,Held until quiet hours end; the message is not urgent enough to interrupt the user overnight.,0.80,message_0403
msg_081,notify,personal,"A voice note from a school group contact the user typically answers fast, so quick delivery matches their usual response pattern.",0.90,message_0217
msg_025,notify,business_update,"This is a routine shipping update from a business the user engages with promptly, warranting immediate delivery despite lacking true urgency.",0.90,message_0004
msg_084,mute,spam,The user has opted out of or repeatedly dismissed messages from this sender.,0.87,message_0220
msg_022,mute,urgent,"This is a routine payment reminder from a society group the user typically ignores, with no unique or time-critical personal relevance.",0.86,message_0151
